"contig" "path_class"
"c04967" "Metabolism of cofactors and vitamins"
"c04981" "Translation"
"c04990" "Carbohydrate metabolism"
"c04990" "Energy metabolism"
"c05006" "Carbohydrate metabolism"
"c05067" "Energy metabolism"
"c05081" "Metabolism of terpenoids and polyketides"
"c05100" "Metabolism of terpenoids and polyketides"
"c05122" "Energy metabolism"
"c05156" "Carbohydrate metabolism"
"c05183" "Amino acid metabolism"
"c05186" "Amino acid metabolism"
"c05207" "Carbohydrate metabolism"
"c05207" "Lipid metabolism"
"c05254" "Glycan biosynthesis and metabolism"
"c05269" "Translation"
"c05284" "Translation"
"c05305" "Amino acid metabolism"
"c05305" "Energy metabolism"
"c05305" "Carbohydrate metabolism"
"c05318" "Metabolism of cofactors and vitamins"
"c05326" "Metabolism of terpenoids and polyketides"
"c05354" "Xenobiotics biodegradation and metabolism"
"c05358" "Metabolism of terpenoids and polyketides"
"c05369" "Folding, sorting and degradation"
"c05377" "Translation"
"c05385" "Lipid metabolism"
"c05401" "Signal transduction"
"c05401" "Lipid metabolism"
"c05417" "Amino acid metabolism"
"c05559" "Carbohydrate metabolism"
"c05581" "Metabolism of other amino acids"
"c05581" "Carbohydrate metabolism"
"c05589" "Translation"
"c05597" "Carbohydrate metabolism"
"c05641" "Metabolism of terpenoids and polyketides"
"c05645" "Amino acid metabolism"
"c05645" "Metabolism of other amino acids"
"c05698" "Amino acid metabolism"
"c05788" "Metabolism of cofactors and vitamins"
"c05794" "Metabolism of cofactors and vitamins"
"c05830" "Glycan biosynthesis and metabolism"
"c05903" "Transport and catabolism"
"c05916" "Transcription"
"c05923" "Metabolism of cofactors and vitamins"
"c05923" "Amino acid metabolism"
"c05965" "Glycan biosynthesis and metabolism"
"c05970" "Carbohydrate metabolism"
"c05970" "Amino acid metabolism"
"c05970" "Energy metabolism"
"c05996" "Energy metabolism"
"c06004" "Glycan biosynthesis and metabolism"
"c06004" "Folding, sorting and degradation"
"c06045" "Replication and repair"
"c06059" "Nucleotide metabolism"
"c06059" "Carbohydrate metabolism"
"c06077" "Amino acid metabolism"
"c06078" "Folding, sorting and degradation"
"c06085" "Amino acid metabolism"
"c06133" "Lipid metabolism"
"c06133" "Signal transduction"
"c06142" "Lipid metabolism"
"c06144" "Transcription"
"c06147" "Metabolism of cofactors and vitamins"
"c06164" "Translation"
"c06181" "Transcription"
"c06201" "Carbohydrate metabolism"
"c06208" "Metabolism of terpenoids and polyketides"
"c06258" "Translation"
"c06303" "Translation"
"c06313" "Transport and catabolism"
"c06429" "Signal transduction"
"c06440" "Amino acid metabolism"
"c06518" "Nucleotide metabolism"
"c06548" "Metabolism of other amino acids"
"c06548" "Xenobiotics biodegradation and metabolism"
"c06573" "Metabolism of cofactors and vitamins"
"c06581" "Transcription"
"c06605" "Transcription"
"c06637" "Amino acid metabolism"
"c06637" "Carbohydrate metabolism"
"c06700" "Carbohydrate metabolism"
"c06762" "Metabolism of cofactors and vitamins"
"c06762" "Nucleotide metabolism"
"c06807" "Folding, sorting and degradation"
"c06876" "Lipid metabolism"
"c06876" "Metabolism of cofactors and vitamins"
"c06880" "Lipid metabolism"
"c06880" "Xenobiotics biodegradation and metabolism"
"c06880" "Amino acid metabolism"
"c06881" "Nucleotide metabolism"
"c06884" "Lipid metabolism"
"c06943" "Nucleotide metabolism"
"c06943" "Metabolism of cofactors and vitamins"
"c06962" "Energy metabolism"
"c07027" "Carbohydrate metabolism"
"c07027" "Energy metabolism"
"c07032" "Metabolism of cofactors and vitamins"
"c07072" "Transport and catabolism"
"c07118" "Xenobiotics biodegradation and metabolism"
"c07118" "Metabolism of other amino acids"
"c07173" "Folding, sorting and degradation"
"c07173" "Glycan biosynthesis and metabolism"
"c07206" "Transport and catabolism"
"c07232" "Translation"
"c07253" "Glycan biosynthesis and metabolism"
"c07259" "Lipid metabolism"
"c07261" "Amino acid metabolism"
"c07263" "Energy metabolism"
"c07273" "Carbohydrate metabolism"
"c07325" "Metabolism of cofactors and vitamins"
"c07386" "Metabolism of cofactors and vitamins"
"c07386" "Translation"
"c07443" "Metabolism of cofactors and vitamins"
"c07492" "Amino acid metabolism"
"c07492" "Energy metabolism"
"c07529" "Xenobiotics biodegradation and metabolism"
"c07529" "Metabolism of other amino acids"
"c07548" "Replication and repair"
"c07550" "Lipid metabolism"
"c07590" "Carbohydrate metabolism"
"c07655" "Replication and repair"
"c07703" "Translation"
"c07715" "Amino acid metabolism"
"c07774" "Folding, sorting and degradation"
