"id" "model" "y0" "b" "c" "d" "e" "f" "yrange" "trend" "typology" "BMD.zSD" "BMD.zSD.lower" "BMD.zSD.upper"
"c00134" "linear" 10.8510453479951 -0.217935781575559 NA 10.8510453479951 NA NA 1.44513216762753 "dec" "L.dec" 1.91319720381881 1.21573898917307 2.72719544696078
"c00276" "exponential" 12.4282123053309 1.49943588625271 NA 12.4282123053309 -2.19822958973417 NA 1.42600638034163 "dec" "E.dec.convex" 0.466756452945727 0.239484753109636 0.800324066918802
"c00281" "exponential" 12.4118703945547 1.40817222023994 NA 12.4118703945547 -2.40522886653824 NA 1.31877070394082 "dec" "E.dec.convex" 0.535697929686699 0.269138031616001 0.942392487992954
"c00322" "exponential" 16.4105356511403 0.00180539400550552 NA 16.4105356511403 1.15276146274384 NA 0.56672401085147 "inc" "E.inc.convex" 5.07259145724476 2.74591802021838 5.55727015035113
"c00323" "log-Gauss-probit" 15.0812761904225 0.588663374435926 15.0812761904225 15.0812761904225 4.40453095948657 -1.28593300939924 1.28593300939924 "U" "lGP.U" 1.98728487955412 1.00949992964993 2.83511827985819
"c00380" "exponential" 14.5333219537176 1.3195805439082 NA 14.5333219537176 -2.51861289012015 NA 1.22473300106977 "dec" "E.dec.convex" 0.895725600432827 0.381926167870974 2.00780980265148
"c00398" "linear" 12.9488316420278 -0.140576190843726 NA 12.9488316420278 NA NA 0.932160721484744 "dec" "L.dec" 1.47021892280103 1.05003801869454 1.83083916992338
"c00510" "Gauss-probit" 9.02084286869575 2.95997582000081 7.51921820587554 7.51921820587554 1.96769367894752 1.87293193990365 1.33149185980116 "bell" "GP.bell" 5.14658563201463 0.660685997460889 5.63597311497848
"c00533" "Gauss-probit" 9.62396060561997 4.84649642064991 16.6324298921271 16.6324298921271 3.03331504745744 -8.52481135518593 2.05299866971317 "U" "GP.U" 0.82373784977363 0.526392332706259 1.3634388064826
"c00590" "linear" 11.4984575493688 0.122610851964811 NA 11.4984575493688 NA NA 0.813032559378662 "inc" "L.inc" 2.80234154196712 1.68083825078018 4.9664150048355
"c00628" "Gauss-probit" 15.1445312716351 3.54826357213934 17.3282276241208 17.3282276241208 1.172912677466 -2.30632154020028 1.59982718014462 "U" "GP.U" 3.52538484811464 0.661064866107228 4.19966046828859
"c00678" "exponential" 11.9693066504759 -0.0753597091414757 NA 11.9693066504759 2.09080685384494 NA 1.72146380490925 "dec" "E.dec.concave" 3.08594580742189 1.70417195610057 4.46103742392656
"c00689" "linear" 9.94255859745194 -0.139668925762644 NA 9.94255859745194 NA NA 0.926144646732093 "dec" "L.dec" 1.81798015242737 1.17074438429193 2.52798286074482
"c00694" "Gauss-probit" 12.2969063474314 1.90135008177573 12.6732508664317 12.6732508664317 2.52263217601758 -0.907459477638415 0.819559504514023 "U" "GP.U" 0.760955337534584 0.485419301373461 1.06447442098178
"c00847" "linear" 14.6496705567253 -0.12664487251339 NA 14.6496705567253 NA NA 0.83978214963629 "dec" "L.dec" 2.99839802399302 1.72689155131151 5.40536261391546
"c00941" "exponential" 9.47792083747735 0.575602291635956 NA 9.47792083747735 -2.66258786738721 NA 0.527899843829195 "dec" "E.dec.convex" 1.01723935841106 0.439630023602854 2.21330728364115
"c00973" "exponential" 7.23626960402858 -0.772784660124809 NA 7.23626960402858 -2.37520140368148 NA 0.725402907975884 "inc" "E.inc.concave" 1.17676284825081 0.453638647046154 2.97381494850884
"c01041" "log-Gauss-probit" 7.26434042464847 0.997976449523296 7.26434042464847 7.26434042464847 3.79708051636546 -1.49416354155052 1.49416354155052 "U" "lGP.U" 0.864360658991576 0.335705816286878 1.56051881928912
"c01086" "exponential" 12.2423495482841 0.00106037929234457 NA 12.2423495482841 0.997773848546331 NA 0.81494521629231 "inc" "E.inc.convex" 5.83405908287261 3.13804749457285 6.24985928620072
"c01117" "linear" 15.232535849857 0.146951361966712 NA 15.232535849857 NA NA 0.974434481201268 "inc" "L.inc" 2.43825647532955 1.50419487285966 3.88831204914504
"c01133" "Gauss-probit" 10.3236557420659 2.05201888170102 9.85970019635143 9.85970019635143 3.07839600242688 1.42946785754277 1.11008033325646 "bell" "GP.bell" 0.739809438307403 0.395384452856406 1.14320010689869
"c01155" "Gauss-probit" 5.43771447236761 1.84001880323632 6.19173989582337 6.19173989582337 2.6438900203391 -2.11697004654235 1.91461074520776 "U" "GP.U" 1.07939303045872 0.616819559154783 1.87256101274123
