"id" "irow" "adjpvalue" "model" "nbpar" "b" "c" "d" "e" "f" "SDres" "typology" "trend" "y0" "yrange" "maxychange" "xextrem" "yextrem" "BMD.zSD" "BMR.zSD" "BMD.xfold" "BMR.xfold" "BMD.zSD.lower" "BMD.zSD.upper" "BMD.xfold.lower" "BMD.xfold.upper" "nboot.successful"
"c01155" 13129 0.00638539895764947 "Gauss-probit" 4 1.84001880323632 6.19173989582337 6.19173989582337 2.6438900203391 -2.11697004654235 0.720766131336913 "GP.U" "U" 5.43771447236761 1.91461074520776 1.36294462308658 2.6438900203391 4.07476984928102 1.07939246351984 4.71694834103069 0.823629343396272 4.89394302513085 0.666476760265991 1.8535633621631 0.596011288915814 1.40023717542545 395
"c01167" 13409 3.4187525309437e-05 "exponential" 3 0.0305259688102153 NA 8.51514117915941 1.56888364365413 NA 0.414250640808065 "E.inc.convex" "inc" 8.51514117915941 2.05995607642098 2.05995607642098 NA NA 4.2030304917044 8.92939181996748 5.27719075993216 9.36665529707535 2.43616144355909 5.10411427873623 4.07697030360079 5.86677582099744 445
"c01233" 16034 0.00159571055382627 "linear" 2 -0.187987725679979 NA 7.17948440100302 NA NA 0.444304635667668 "L.dec" "dec" 7.17948440100302 1.24654660898394 1.24654660898394 NA NA 2.36347683903591 6.73517976533535 3.81912402792989 6.46153596090272 1.46654656310618 3.78747598637432 2.83789447194093 5.94212979504292 500
"c01250" 16689 1.58537382017145e-05 "linear" 2 0.431651427722422 NA 12.3018744357254 NA NA 0.786656641156138 "L.inc" "inc" 12.3018744357254 2.86228061722738 2.86228061722738 NA NA 1.82243493391618 13.0885310768816 2.84995569240566 13.532061879298 1.25523264474443 2.47852845550043 2.18447175631456 4.10506292017224 500
"c01318" 18587 0.00976165580733013 "exponential" 3 -0.0254133605974514 NA 9.30059148841057 1.98233234489253 NA 0.319491441317949 "E.dec.concave" "dec" 9.30059148841057 0.695359918730528 0.695359918730528 NA NA 5.16990967004882 8.98110004709262 NA 8.37053233956951 2.62074447007669 6.18923845103704 6.3990795783509 Inf 353
"c01370" 20546 0.0022921863506831 "linear" 2 0.0946451465978696 NA 17.3249844409165 NA NA 0.202754951722264 "L.inc" "inc" 17.3249844409165 0.627591967090474 0.627591967090474 NA NA 2.14226464864313 17.5277393926387 NA 19.0574828850081 1.33538267033457 3.27237521216215 Inf Inf 500
"c01424" 22051 0.00065817027448796 "linear" 2 -0.0725009242521568 NA 11.983790093728 NA NA 0.121104178582408 "L.dec" "dec" 11.983790093728 0.480753628716052 0.480753628716052 NA NA 1.67038116867601 11.8626859151456 NA 10.7854110843552 1.14556642748572 2.19326938660968 Inf Inf 500
"c01433" 22407 6.13564364355554e-05 "linear" 2 -0.255287141759196 NA 7.93716103749278 NA NA 0.505977359075544 "L.dec" "dec" 7.93716103749278 1.69280903700523 1.69280903700523 NA NA 1.98199312189729 7.43118367841724 3.1091111690144 7.1434449337435 1.1967318296657 3.03692435952389 2.43793120411102 4.32428659786935 500
"c01438" 22651 0.00019391866868407 "Gauss-probit" 4 1.76455074077377 10.9277844152578 10.9277844152578 1.51941957100548 -2.4264131538481 0.805897964864498 "GP.U" "U" 9.25299973422419 2.38987360277515 1.6382451299607 1.51941957100548 8.50137126140974 4.04828296709949 10.0588976990887 4.22418296970545 10.1782997076466 0.496851356741797 4.86893555974881 0.720186659282139 5.38559078161966 492
"c01442" 22830 8.39853820945873e-07 "exponential" 3 -0.459497381212501 NA 13.0826063612227 5.05363248011549 NA 0.214253671797951 "E.dec.concave" "dec" 13.0826063612227 1.24710324613963 1.24710324613963 NA NA 1.93416383476965 12.8683526894248 NA 11.7743457251005 1.07799896185638 3.23249082636448 6.13410907417785 Inf 483
